"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"5:00 AM EET on March 01, 2016","2016","03","01","05","00","Europe/Kiev","3:00 AM GMT on March 01, 2016","2016","03","01","03","00","UTC","4.0","39.2","4.0","39.2","100","21.6","13.4","-9999.0","-9999.0","110","ESE","0.2","0.1","1017","30.04","-0.4","31.3","-9999","-9999","-9999.00","-9999.00","Fog","fog","1","0","0","0","0","0","METAR UKKK 010300Z 11006MPS 0200 R08/0900N FG VV001 04/04 Q1017 R08/290155 NOSIG"
"5:30 AM EET on March 01, 2016","2016","03","01","05","30","Europe/Kiev","3:30 AM GMT on March 01, 2016","2016","03","01","03","30","UTC","4.0","39.2","4.0","39.2","100","21.6","13.4","-9999.0","-9999.0","110","ESE","0.3","0.2","1017","30.04","-0.4","31.3","-9999","-9999","-9999.00","-9999.00","Fog","fog","1","0","0","0","0","0","METAR UKKK 010330Z 11006MPS 090V150 0300 R08/1100U FG VV002 04/04 Q1017 R08/290155 NOSIG"
"6:00 AM EET on March 01, 2016","2016","03","01","06","00","Europe/Kiev","4:00 AM GMT on March 01, 2016","2016","03","01","04","00","UTC","4.0","39.2","4.0","39.2","100","21.6","13.4","-9999.0","-9999.0","110","ESE","-9999.0","-9999.0","1016","30.01","-0.4","31.3","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010400Z 11006MPS 070V140 3600 -RA BR OVC002 04/04 Q1016 R08/290155 TEMPO 0400 FG VV001"
"6:30 AM EET on March 01, 2016","2016","03","01","06","30","Europe/Kiev","4:30 AM GMT on March 01, 2016","2016","03","01","04","30","UTC","4.0","39.2","4.0","39.2","100","18.0","11.2","-9999.0","-9999.0","110","ESE","5.0","3.1","1016","30.01","0.1","32.2","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 010430Z 11005MPS 5000 -SHRA BR BKN003 BKN020CB 04/04 Q1016 R08/290155 TEMPO 1400 -SHRA BR BKN003 SCT012CB"
"7:00 AM EET on March 01, 2016","2016","03","01","07","00","Europe/Kiev","5:00 AM GMT on March 01, 2016","2016","03","01","05","00","UTC","4.0","39.2","4.0","39.2","100","18.0","11.2","-9999.0","-9999.0","110","ESE","5.0","3.1","1016","30.01","0.1","32.2","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010500Z 11005MPS 080V150 5000 -RA BR OVC003 04/04 Q1016 R08/290255 TEMPO 1400 -SHRA BR BKN002 SCT012CB"
"7:30 AM EET on March 01, 2016","2016","03","01","07","30","Europe/Kiev","5:30 AM GMT on March 01, 2016","2016","03","01","05","30","UTC","4.0","39.2","4.0","39.2","100","21.6","13.4","-9999.0","-9999.0","110","ESE","6.0","3.7","1015","29.98","-0.4","31.3","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010530Z 11006MPS 6000 -RA OVC003 04/04 Q1015 R08/290255 TEMPO OVC002"
"8:00 AM EET on March 01, 2016","2016","03","01","08","00","Europe/Kiev","6:00 AM GMT on March 01, 2016","2016","03","01","06","00","UTC","4","39","3","38","95","10.8","6.7","","","140","SE","4","2","1016","30.01","-999","-999","-9999","-9999","","","Rain","rain","0","1","0","0","0","0","AAXX 01061 33345 11296 81403 10039 20034 39955 40162 57022 60092 76364 8872/ 333 20037 88703 555 11004"
"8:00 AM EET on March 01, 2016","2016","03","01","08","00","Europe/Kiev","6:00 AM GMT on March 01, 2016","2016","03","01","06","00","UTC","4.0","39.2","4.0","39.2","100","21.6","13.4","-9999.0","-9999.0","120","ESE","7.0","4.3","1015","29.98","-0.4","31.3","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010600Z 12006MPS 7000 -RA OVC004 04/04 Q1015 R08/290350 TEMPO OVC002"
"8:30 AM EET on March 01, 2016","2016","03","01","08","30","Europe/Kiev","6:30 AM GMT on March 01, 2016","2016","03","01","06","30","UTC","4.0","39.2","4.0","39.2","100","25.2","15.7","43.2","26.8","110","ESE","6.0","3.7","1013","29.92","-0.8","30.6","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010630Z 11007G12MPS 6000 -RA OVC002 04/04 Q1013 R08/290350 TEMPO OVC001"
"9:00 AM EET on March 01, 2016","2016","03","01","09","00","Europe/Kiev","7:00 AM GMT on March 01, 2016","2016","03","01","07","00","UTC","4.0","39.2","4.0","39.2","100","14.4","8.9","-9999.0","-9999.0","120","ESE","5.0","3.1","1014","29.95","0.6","33.1","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010700Z 12004MPS 090V150 5000 -RA BR BKN002 OVC007 04/04 Q1014 R08/290350 TEMPO BKN001"
