"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"5:00 AM EET on January 01, 2016","2016","01","01","05","00","Europe/Kiev","3:00 AM GMT on January 01, 2016","2016","01","01","03","00","UTC","-11.0","12.2","-13.0","8.6","85","10.8","6.7","-9999.0","-9999.0","40","NE","5.0","3.1","1027","30.33","-16.7","1.9","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010300Z 04003MPS 350V070 5000 -SN SCT011 OVC027 M11/M13 Q1027 26490340 NOSIG"
"5:30 AM EET on January 01, 2016","2016","01","01","05","30","Europe/Kiev","3:30 AM GMT on January 01, 2016","2016","01","01","03","30","UTC","-12.0","10.4","-14.0","6.8","85","7.2","4.5","-9999.0","-9999.0","50","NE","5.0","3.1","1027","30.33","-16.4","2.4","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010330Z 05002MPS 5000 -SN SCT009 OVC030 M12/M14 Q1027 26490340 NOSIG"
"6:00 AM EET on January 01, 2016","2016","01","01","06","00","Europe/Kiev","4:00 AM GMT on January 01, 2016","2016","01","01","04","00","UTC","-11.0","12.2","-12.0","10.4","92","7.2","4.5","-9999.0","-9999.0","70","ENE","7.0","4.3","1027","30.33","-15.3","4.5","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010400Z 07002MPS 7000 -SN SCT009 OVC028 M11/M12 Q1027 26490340 NOSIG"
"6:30 AM EET on January 01, 2016","2016","01","01","06","30","Europe/Kiev","4:30 AM GMT on January 01, 2016","2016","01","01","04","30","UTC","-9.0","15.8","-11.0","12.2","86","10.8","6.7","-9999.0","-9999.0","80","East","2.8","1.7","1027","30.33","-14.3","6.2","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010430Z 08003MPS 2800 -SN OVC008 M09/M11 Q1027 26490340 NOSIG"
"7:00 AM EET on January 01, 2016","2016","01","01","07","00","Europe/Kiev","5:00 AM GMT on January 01, 2016","2016","01","01","05","00","UTC","-10.0","14.0","-11.0","12.2","93","10.8","6.7","-9999.0","-9999.0","80","East","2.4","1.5","1027","30.33","-15.5","4.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010500Z 08003MPS 2400 -SN OVC007 M10/M11 Q1027 26490340 TEMPO 1000 -SN BR"
"7:30 AM EET on January 01, 2016","2016","01","01","07","30","Europe/Kiev","5:30 AM GMT on January 01, 2016","2016","01","01","05","30","UTC","-10.0","14.0","-12.0","10.4","86","10.8","6.7","-9999.0","-9999.0","90","East","4.0","2.5","1027","30.33","-15.5","4.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010530Z 09003MPS 4000 -SN OVC010 M10/M12 Q1027 08490340 TEMPO 1000 -SN BR"
"8:00 AM EET on January 01, 2016","2016","01","01","08","00","Europe/Kiev","6:00 AM GMT on January 01, 2016","2016","01","01","06","00","UTC","-10","14","-11","12","86","7.2","4.5","","","100","East","4","2","1030","30.42","-999","-999","-9999","-9999","","","Light Snow","snow","0","0","1","0","0","0","AAXX 01061 33345 11496 81002 11101 21113 30078 40299 53007 69982 77177 8872/ 333 21102 47008 88714 555 1/105"
"8:00 AM EET on January 01, 2016","2016","01","01","08","00","Europe/Kiev","6:00 AM GMT on January 01, 2016","2016","01","01","06","00","UTC","-10.0","14.0","-12.0","10.4","86","10.8","6.7","-9999.0","-9999.0","100","East","2.9","1.8","1027","30.33","-15.5","4.1","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010600Z 10003MPS 2900 -SN SCT010 OVC030 M10/M12 Q1027 08490340 TEMPO 1000 -SN BR"
"8:30 AM EET on January 01, 2016","2016","01","01","08","30","Europe/Kiev","6:30 AM GMT on January 01, 2016","2016","01","01","06","30","UTC","-10.0","14.0","-12.0","10.4","86","14.4","8.9","-9999.0","-9999.0","90","East","-9999.0","-9999.0","1028","30.36","-16.6","2.2","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010630Z 09004MPS 3600 -SN SCT010 OVC030 M10/M12 Q1028 08490340 TEMPO 1000 -SN BR"
"9:00 AM EET on January 01, 2016","2016","01","01","09","00","Europe/Kiev","7:00 AM GMT on January 01, 2016","2016","01","01","07","00","UTC","-10.0","14.0","-12.0","10.4","86","14.4","8.9","-9999.0","-9999.0","90","East","4.5","2.8","1028","30.36","-16.6","2.2","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010700Z 09004MPS 4500 -SN FEW011 BKN030 M10/M12 Q1028 08490340 TEMPO 1000 -SN BR"
"9:30 AM EET on January 01, 2016","2016","01","01","09","30","Europe/Kiev","7:30 AM GMT on January 01, 2016","2016","01","01","07","30","UTC","-11.0","12.2","-13.0","8.6","85","18.0","11.2","-9999.0","-9999.0","90","East","2.7","1.7","1028","30.36","-18.7","-1.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010730Z 09005MPS 2700 -SN FEW010 BKN029 M11/M13 Q1028 08490340 TEMPO 1000 -SN BR"
"10:00 AM EET on January 01, 2016","2016","01","01","10","00","Europe/Kiev","8:00 AM GMT on January 01, 2016","2016","01","01","08","00","UTC","-11.0","12.2","-13.0","8.6","85","18.0","11.2","-9999.0","-9999.0","80","East","-9999.0","-9999.0","1028","30.36","-18.7","-1.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010800Z 08005MPS 3300 -SN SCT010 BKN029 M11/M13 Q1028 08490340 TEMPO 1000 -SN BR"
"10:30 AM EET on January 01, 2016","2016","01","01","10","30","Europe/Kiev","8:30 AM GMT on January 01, 2016","2016","01","01","08","30","UTC","-11.0","12.2","-14.0","6.8","79","14.4","8.9","-9999.0","-9999.0","70","ENE","-9999.0","-9999.0","1028","30.36","-17.8","-0.0","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010830Z 07004MPS 3700 -SN SCT013 BKN030 M11/M14 Q1028 08490340 TEMPO 1000 -SN BR"
"11:00 AM EET on January 01, 2016","2016","01","01","11","00","Europe/Kiev","9:00 AM GMT on January 01, 2016","2016","01","01","09","00","UTC","-10","14","-12","10","74","7.2","4.5","","","90","East","4","2","1031","30.44","-999","-999","-9999","-9999","","","Light Snow","snow","0","0","1","0","0","0","AAXX 01091 33345 41496 80902 11102 21125 30085 40306 52007 77172 8872/ 333 88713 555 1/101"
"11:00 AM EET on January 01, 2016","2016","01","01","11","00","Europe/Kiev","9:00 AM GMT on January 01, 2016","2016","01","01","09","00","UTC","-11.0","12.2","-14.0","6.8","79","18.0","11.2","-9999.0","-9999.0","80","East","9.0","5.6","1028","30.36","-18.7","-1.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010900Z 08005MPS 9000 -SN SCT009 BKN029 M11/M14 Q1028 08490340 TEMPO 1000 -SN BR"
"11:30 AM EET on January 01, 2016","2016","01","01","11","30","Europe/Kiev","9:30 AM GMT on January 01, 2016","2016","01","01","09","30","UTC","-11.0","12.2","-14.0","6.8","79","18.0","11.2","-9999.0","-9999.0","100","East","6.0","3.7","1028","30.36","-18.7","-1.6","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 010930Z 10005MPS 6000 -SN SCT014 BKN025 M11/M14 Q1028 08490340 TEMPO 1000 -SN BR"
"12:00 PM EET on January 01, 2016","2016","01","01","12","00","Europe/Kiev","10:00 AM GMT on January 01, 2016","2016","01","01","10","00","UTC","-12.0","10.4","-14.0","6.8","85","14.4","8.9","-9999.0","-9999.0","90","East","-9999.0","-9999.0","1028","30.36","-19.0","-2.2","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 011000Z 09004MPS 3100 -SN FEW011 SCT025 OVC100 M12/M14 Q1028 08490340 NOSIG"
"12:30 PM EET on January 01, 2016","2016","01","01","12","30","Europe/Kiev","10:30 AM GMT on January 01, 2016","2016","01","01","10","30","UTC","-11.0","12.2","-14.0","6.8","79","14.4","8.9","-9999.0","-9999.0","70","ENE","7.0","4.3","1028","30.36","-17.8","-0.0","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 011030Z 07004MPS 7000 -SN FEW011 SCT026 OVC100 M11/M14 Q1028 08490340 NOSIG"
"1:00 PM EET on January 01, 2016","2016","01","01","13","00","Europe/Kiev","11:00 AM GMT on January 01, 2016","2016","01","01","11","00","UTC","-12.0","10.4","-15.0","5.0","79","10.8","6.7","-9999.0","-9999.0","80","East","10.0","6.2","1028","30.36","-17.9","-0.2","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 011100Z 08003MPS 9999 -SN FEW012 SCT026 OVC100 M12/M15 Q1028 08490340 NOSIG"
"1:30 PM EET on January 01, 2016","2016","01","01","13","30","Europe/Kiev","11:30 AM GMT on January 01, 2016","2016","01","01","11","30","UTC","-11.0","12.2","-15.0","5.0","73","14.4","8.9","-9999.0","-9999.0","50","NE","10.0","6.2","1028","30.36","-17.8","-0.0","-9999","-9999","-9999.00","-9999.00","Light Snow","snow","0","0","1","0","0","0","METAR UKKK 011130Z 05004MPS 9999 -SN FEW012 SCT026 OVC100 M11/M15 Q1028 08490340 NOSIG"
